RTENAME,StateNm,RouteID,U_S_R_I,id,t00m_mean,t00j_mean,t01m_mean,t01j_mean,t15m_mean,t15j_mean,t16m_mean,t16j_mean
ARLEE,53,015,53_015,2558,6.173333333333330,9.723333333333330,7.103333333333330,9.113333333333330,7.513333333333330,14.650000000000000,7.143333333333330,11.893333333333300
ARLEE,53,015,53_015,2559,7.945000000000000,11.420000000000000,8.989999999999990,10.805000000000000,9.120000000000000,16.295000000000000,8.789999999999990,13.510000000000000
ARLEE,53,015,53_015,2560,8.483333333333330,12.003333333333300,9.583333333333330,11.340000000000000,9.586666666666660,16.840000000000000,9.136666666666660,13.863333333333300
WOODMAN,53,025,53_025,2561,8.365000000000000,12.084999999999900,9.150000000000000,11.462499999999900,9.542500000000000,16.995000000000000,9.140000000000000,14.109999999999900
WOODMAN,53,025,53_025,2562,9.502500000000000,13.039999999999900,10.097500000000000,12.362500000000000,10.359999999999900,17.747500000000000,9.982499999999990,14.887499999999900
WOODMAN,53,025,53_025,2563,8.375000000000000,12.125000000000000,9.127500000000000,11.555000000000000,9.632500000000000,17.045000000000000,9.252500000000000,14.099999999999900
WOODMAN,53,025,53_025,2564,7.947500000000000,11.777500000000000,8.834999999999990,11.260000000000000,9.405000000000000,16.802500000000000,8.995000000000000,13.822500000000000
WOODMAN,53,025,53_025,2565,8.545000000000000,12.322500000000000,9.520000000000000,11.687500000000000,9.987500000000000,17.445000000000000,9.582500000000000,14.275000000000000
INGOMAR,53,032,53_032,2566,13.220000000000000,16.712499999999900,14.390000000000000,17.347500000000000,11.272500000000000,19.885000000000000,12.204999999999900,19.169999999999900
INGOMAR,53,032,53_032,2567,13.457500000000000,16.869999999999900,14.625000000000000,17.652500000000000,11.475000000000000,20.042500000000000,12.460000000000000,19.352499999999900
INGOMAR,53,032,53_032,2568,13.469999999999900,16.883333333333300,14.646666666666600,17.770000000000000,11.473333333333300,20.066666666666600,12.466666666666600,19.403333333333300
INGOMAR,53,032,53_032,2569,13.582500000000000,16.942499999999900,14.715000000000000,17.785000000000000,11.585000000000000,20.125000000000000,12.625000000000000,19.504999999999900
INGOMAR,53,032,53_032,2570,13.780000000000000,17.094999999999900,14.870000000000000,17.920000000000000,11.760000000000000,20.259999999999900,12.890000000000000,19.740000000000000
ELLISTON,53,027,53_027,2571,9.272500000000000,12.547499999999900,9.160000000000000,12.080000000000000,8.640000000000000,16.157499999999900,8.427500000000000,14.227499999999900
ELLISTON,53,027,53_027,2572,8.542500000000000,12.012500000000000,8.770000000000000,11.657500000000000,8.212500000000000,15.907499999999900,8.027500000000000,13.965000000000000
ELLISTON,53,027,53_027,2573,8.230000000000000,11.507500000000000,8.662500000000000,11.490000000000000,7.802500000000000,15.692500000000000,7.825000000000000,13.862500000000000
ELLISTON,53,027,53_027,2574,7.447500000000000,10.622500000000000,8.225000000000000,10.914999999999900,6.797500000000000,15.157499999999900,7.215000000000000,13.657499999999900
ELLISTON,53,027,53_027,2575,7.827500000000000,10.877499999999900,8.632500000000000,11.287500000000000,6.820000000000000,15.345000000000000,7.450000000000000,14.080000000000000
LOCATE,53,034,53_034,2576,13.196666666666600,16.623333333333300,13.433333333333300,17.260000000000000,10.816666666666600,19.103333333333300,12.963333333333300,20.106666666666600
LOCATE,53,034,53_034,2577,13.216666666666600,16.676666666666600,13.453333333333300,17.296666666666600,10.773333333333300,19.093333333333300,13.036666666666600,20.123333333333300
LOCATE,53,034,53_034,2578,13.372500000000000,16.832500000000000,13.607500000000000,17.407499999999900,10.925000000000000,19.210000000000000,13.172499999999900,20.204999999999900
LOCATE,53,034,53_034,2579,13.395000000000000,16.939999999999900,13.635000000000000,17.449999999999900,10.980000000000000,19.265000000000000,13.205000000000000,20.204999999999900
LOCATE,53,034,53_034,2580,13.477500000000000,16.984999999999900,13.744999999999900,17.515000000000000,10.965000000000000,19.260000000000000,13.262499999999900,20.189999999999900
CLINTON,53,026,53_026,2581,8.385000000000000,12.175000000000000,9.414999999999990,11.605000000000000,9.109999999999990,16.899999999999900,8.785000000000000,14.465000000000000
CLINTON,53,026,53_026,2582,8.123333333333330,12.000000000000000,9.260000000000000,11.430000000000000,8.920000000000000,16.863333333333300,8.539999999999990,14.383333333333300
CLINTON,53,026,53_026,2583,8.970000000000000,12.844999999999900,10.045000000000000,12.150000000000000,9.545000000000000,17.555000000000000,9.180000000000000,15.035000000000000
CLINTON,53,026,53_026,2584,9.202500000000000,13.077499999999900,10.377500000000000,12.387499999999900,9.812500000000000,17.984999999999900,9.415000000000000,15.410000000000000
CLINTON,53,026,53_026,2585,9.619999999999990,13.482500000000000,10.775000000000000,12.742500000000000,10.202500000000000,18.315000000000000,9.830000000000000,15.734999999999900
FORSYTH,53,033,53_033,2586,14.390000000000000,17.396666666666600,15.010000000000000,18.396666666666600,12.086666666666600,20.366666666666600,13.690000000000000,20.526666666666600
